state,Health & Fitness,Humor,Personal Growth,Philanthropic,Education/Training,Recreation & Leisure,Family/Friends/Relationships,Career,Finance,Time Management/Organization
Alabama,4,8,17,1,0,2,1,0,3,0
Alaska,4,2,6,0,0,0,4,0,1,0
Arizona,11,22,37,1,3,8,9,1,2,2
Arkansas,7,6,1,1,0,1,2,0,0,1
California,115,170,250,12,10,75,56,20,22,11
Colorado,10,11,37,0,3,6,5,2,4,2
Connecticut,10,8,30,0,1,3,2,0,0,1
Delaware,2,0,1,0,1,1,0,0,0,1
District of Columbia,5,7,23,1,1,3,1,4,4,2
Florida,35,38,103,5,4,25,19,7,16,6
Georgia,18,22,50,3,2,18,11,7,4,2
Hawaii,3,3,8,1,2,1,1,0,0,0
Idaho,2,2,7,0,0,1,2,0,1,0
Illinois,43,52,69,2,0,16,13,5,7,4
Indiana,14,20,26,1,2,8,5,3,2,1
Iowa,5,9,20,0,1,2,0,1,3,1
Kansas,6,12,25,0,0,5,1,1,1,1
Kentucky,14,13,27,0,1,8,4,3,2,0
Louisiana,17,12,23,1,2,5,5,1,4,0
Maine,5,0,7,1,1,2,0,1,1,0
Maryland,8,21,34,2,0,10,4,2,2,0
Massachusetts,33,36,46,1,2,10,12,10,5,1
Michigan,33,25,52,3,3,15,15,3,10,3
Minnesota,16,19,30,2,2,10,4,1,4,2
Mississippi,5,1,11,0,1,4,0,1,0,0
Missouri,10,11,29,1,1,7,8,2,0,1
Montana,0,2,3,0,0,0,1,0,0,0
Nebraska,9,1,8,1,0,2,0,0,0,1
Nevada,6,11,31,1,1,6,2,1,3,1
New Hampshire,1,2,7,1,1,1,0,1,0,0
New Jersey,14,17,38,2,2,8,3,5,4,1
New Mexico,4,3,8,0,0,1,2,0,0,0
New York,80,123,184,9,11,57,43,9,14,13
North Carolina,13,25,49,3,3,8,11,0,4,1
North Dakota,1,1,1,0,0,0,0,0,0,0
Ohio,33,36,65,2,4,21,16,7,8,5
Oklahoma,13,4,14,0,0,4,1,1,0,1
Oregon,12,18,21,1,0,12,5,1,3,1
Pennsylvania,23,35,54,4,1,19,17,3,8,5
Rhode Island,3,3,4,1,0,0,2,1,0,1
South Carolina,12,11,18,0,1,1,2,1,3,1
South Dakota,5,1,4,0,0,2,0,0,0,1
Tennessee,18,28,38,6,0,7,7,2,6,1
Texas,72,82,140,8,12,37,19,10,13,8
Utah,9,9,15,0,1,5,3,1,0,0
Vermont,1,2,5,0,0,1,0,0,0,0
Virginia,31,19,37,2,3,12,7,5,4,2
Washington,17,29,34,3,3,9,11,2,5,2
West Virginia,10,3,6,1,2,0,3,0,0,0
Wisconsin,16,14,23,0,1,8,10,1,3,0
Wyoming,2,1,5,0,0,0,1,0,0,0
,,,,,,,,,,
